paper_id;conference_id
21456;2759168861
21951;1130566378
38917;1164975091
66914;2755724983
83404;2754197539
122273;2757487807
128236;1174248916
148875;2757487807
149980;2757804692
162256;1180662882
217802;1179702818
223960;1137640971
225523;1184914352
387150;1139274412
520826;1127419992
573916;1134804816
598789;1191550517
649244;1130177464
671169;1129324708
773965;1184527398
915898;1129324708
1017254;2756208608
1038880;1187792334
1147305;2754492142
1238551;1129324708
1243554;1139274412
1309347;1129324708
1341035;2757021987
1404390;1129324708
1575397;1182309694
1699565;1163686456
1865761;1129324708
1906742;1188726732
1914497;1136791909
1937999;1119602113
1940957;1160491194
2048510;1195648157
2117307;1129324708
2124813;2755314191
2137705;1140213147
2267849;2754283107
2451114;2756998668
2486361;1129324708
2526871;1130873268
2661084;1130677785
2732331;1120715160
2784031;1160834642
2796427;1180338098
2834224;1158833223
2849812;2755498524
2997962;2757804692
3100938;1191904734
3123709;1195648157
3179671;1129324708
3258327;1129324708
3328359;1129324708
3401598;1180662882
3438928;1134467612
3448503;1129324708
3520640;1162831978
3525987;1129324708
3534558;1151763769
3554051;2758465625
3834434;2756314553
3895791;2898361526
4044073;1129324708
4165075;1203999783
4166809;1191904734
4184584;1187792334
4215287;1129324708
4310203;1203999783
4339657;1177515820
4412456;1129324708
4549351;2898322738
4593459;1128002137
4650715;1122827389
4684357;2756014376
4797066;1129324708
4806451;1129324708
4925844;1151131449
4930815;1164975091
4958369;2606075370
4983780;1129324708
5006391;2606075370
5024876;2754805320
5091314;1178070762
5146725;1140680567
5210191;1129324708
5551006;2756018882
5585804;2757487807
5606278;1176128511
5641948;1142381819
5699724;2898320085
5726139;1119897178
5841864;2755747537
5862008;1134467612
5889699;1180662882
5917611;2754563871
5924924;1130873268
5928876;1128202388
6019636;1183679797
6077573;1176128511
6105805;1160783667
6124650;1192038392
6430066;2754492142
6455561;1163286138
6512268;2756860364
6585196;1129324708
6608675;1127759574
6625301;1163286138
6688141;1190735678
6757132;1130873268
6837029;1143948298
6913783;1129385027
6933244;1120715160
7064373;1139135573
7122632;1187637167
7126213;1180241966
7162165;1163686456
7294302;1183580825
7316513;2760054250
7341430;1186729694
7434907;1194640161
7495282;1163494139
7544043;2758937542
7558436;1136861413
7585623;1130873268
7626757;1129324708
7694972;1137413041
7857344;2755314191
8045854;2757487807
8095997;2756349628
8136706;2757487807
8138065;2760555016
8159915;1184699546
8258973;1129324708
8302992;2755269626
8455847;1201250571
8627866;2898361526
8639604;1123077274
8677904;1146416605
8713414;2238538125
9002293;1203333039
9017778;2754386153
9069501;1158589615
9091480;1137640971
9262815;1200891582
9295629;1139274412
9439495;1200979010
9498632;1192804102
9556902;1171345118
9567103;1129324708
9615733;2754803852
9639985;1172647307
9657784;2755314191
9751057;1129324708
9935762;1137552346
9958333;1129324708
10120196;1139274412
10125997;1178622071
10152071;1123077274
10317152;1191904734
10566567;1187637167
10596387;1188030315
10647322;1155608529
10789279;1182313844
10805170;1150638746
10868980;1162100051
10876243;2754601805
10920913;1180338098
10931660;1130985203
10942467;1201491352
10972377;1203999783
11174961;1183679797
11181350;1138890651
11194751;1127098075
11224343;1119897178
11249406;1129324708
11343523;1148878455
11393376;2754803852
11416113;2755198924
11572151;1176128511
11591816;1128819360
11659017;1162100051
11776424;2755198924
11817110;1179702818
11954095;2757021987
11955044;1184269240
11970851;1191904734
11992228;1130985203
12070690;2898215259
12213244;2757487807
12298325;1170788073
12445670;1129324708
12492414;1164975091
12537036;1153524033
12544054;1180003657
12570909;1155899826
12570917;2759125792
12688243;1158363782
12934292;1129324708
12954281;2756046938
13310360;1172886419
13363018;1191904734
13637491;1129324708
13648677;2755126985
13685733;1130873268
13730588;1163280044
13910704;1171980720
13915052;1129324708
13924619;2757484200
13952061;1120715160
13961597;2539392191
13976994;1141157497
14027142;2754563871
14075757;1129385027
14093493;1127419992
14148344;1129324708
14175539;1180513217
14182033;2755269626
14290458;2759122327
14317969;1154921601
14397416;1139297330
14407020;2757226066
14428130;1162100051
14429275;2759848371
14430121;1129324708
14464931;1129324708
14543693;1129324708
14715372;2755319328
14805933;1180513217
14869171;1129324708
14988460;1154921601
14999514;2756349628
15061829;2754803852
15110820;2755653720
15162675;2754197539
15197083;1155899826
15251254;1129324708
15271011;1119484956
15300982;1150140640
15301037;2760694600
15359877;2757487807
15395433;1188071776
15440418;1176514135
15476721;1201250571
15535142;2755458412
15571270;1178880552
15574901;1171876160
15609906;2760006162
15621128;2754698934
15635813;2755314191
15681996;2755428484
15805213;2755498524
15829073;2756090654
15977310;2755531268
15979937;2756314553
16042900;2757131477
16092346;2755058989
16101114;1182313844
16158588;1204434967
16174593;2758995940
16191149;1132773841
16194978;1192664773
16241091;1186729694
16282430;1201250571
16304275;1124077590
16334259;1192664773
16346066;1184914352
16390359;1177287137
16418806;2735555832
16455933;1187637167
16521526;2756314553
16633162;1187637167
16650222;1155608529
16674111;2755058989
16793943;1129324708
16815560;1162450063
16838833;1163686456
16869046;1129324708
16935977;1146669736
17057003;1168863100
17100718;2898215259
17153169;1156741871
17181688;1169227017
17326428;2758465625
17346816;2757487807
17400551;1168666102
17470385;1154039276
17479139;1162831978
17509497;1124077590
17671468;1140657324
17779984;1129324708
17789669;1129324708
17807471;1163286138
17859256;1127419992
17895774;2756314553
17898668;1201491352
17900810;1160224924
18024286;2898361526
18030409;1175705186
18055459;1201250571
18068044;1127759574
18073387;2756314553
18117025;1129324708
18231574;2756314553
18247923;1201110412
18328919;1129324708
18332738;2622962978
18403339;1129324708
18405265;2756297237
18443652;1129324708
18473822;2754492142
18507072;1158833223
18531802;1184106476
18544042;1169674987
18545325;1129324708
18634137;1184527398
18701524;1184914352
18715325;2754249383
18741019;2757487807
18750499;1129324708
18798069;2758123139
18874530;2754492142
18884541;1176128511
18994745;1129324708
19045906;1175705186
19046399;2754492142
19046872;1136953354
19201537;1129324708
19247583;1129324708
19257917;2756314553
19269923;1128819360
19367983;1129324708
19434086;1164203406
19489955;1129324708
19503683;2759880100
19503752;2757670379
19522572;1147859159
19531118;1188071776
19535052;2607379586
19558663;2533150121
19616305;1174168622
19618308;2754002042
19621713;1183852906
19680214;1175705186
19743991;1184699546
19775982;1174403976
19838340;1129324708
19897065;2754339667
20091078;1137640971
20109359;2757487807
20186095;1146600191
20210422;1129324708
20269816;2758740029
20275845;1130873268
20313843;1120209348
20374847;1133495350
20547057;2755570506
20582962;2757049256
20646389;1188030315
20649036;1200543359
20723750;2754378120
20815616;1129324708
20884465;1150140640
20902374;2757487807
21170504;1140082307
21172594;2759122327
21187803;2606075370
21188731;1188739475
21199194;2756090654
21370563;1134467612
21436967;2754492142
21456295;1129324708
21463511;1184527398
21477528;1204638610
21517912;2898361526
21559655;2756314553
21595345;1194005070
21681092;1131830996
21708242;1193534515
21843266;1150208541
21911398;2754492142
21949312;2756349628
21977762;1123077274
22040386;1129324708
22044255;1146600191
22079571;1129324708
22081494;2755786043
22298472;2759880100
22298540;2755724983
22315611;1129324708
22316630;2758847462
22325472;1170695740
22337873;1129324708
22435263;1121242901
22439314;1168262657
22465955;1129324708
22479691;2758506058
22490863;1120715160
22497538;1161953916
22588544;1165293657
22625913;1139274412
22652617;1129324708
22661957;2606075370
22693773;1166878115
22717805;2757021987
22830701;2755283090
22857807;1161424158
22864546;1204606053
22873392;1130873268
23021225;2757487807
23065436;2754492142
23081882;1155746833
23259235;1160224924
23277415;1134069326
23304589;1129324708
23372369;1153395238
23377417;1155899826
23783389;2760054250
23834669;1172886419
23847682;1129324708
23873736;1130464007
23915378;1169806927
23932788;2898326963
23997402;2755023647
24036626;1163286138
24041454;1129324708
24046236;2757487807
24058650;1139274412
24075189;1180513217
24111845;2535638237
24255789;1173644570
24458637;1129324708
24556036;1129324708
24620155;1167275352
24624248;1133222229
24707248;1130873268
24745901;1141159355
24815514;1129324708
24851158;1129324708
24897922;2754194746
24982770;1148751172
25195181;1124077590
25254909;2759168861
25271272;1127419992
25336591;1163280044
25448784;1129324708
25593537;1199802775
25684949;2758506058
25775892;1168669760
25847796;2756090654
25857900;2758520484
25874631;1130873268
25883864;1128394114
25962722;2754492142
25996711;1193787109
26074728;2757487807
26100655;1192038392
26272141;1180338098
26295052;1132567130
26410400;2757804692
26423485;2755653720
26428638;1192664773
26465656;2757049256
26633915;1129324708
26672457;1148751172
26753892;1191904734
26767674;2606870472
26770814;2758465625
26889985;1129324708
26903954;1136496851
26962832;1194636961
26963826;1184527398
26966259;1177287137
26973266;1127419992
26994638;2756349628
26998118;1173644570
27027795;1197725624
27255665;1120869304
27276676;1129324708
27347656;2754242139
27407996;1139274412
27522111;1170788073
27650913;1170686637
27741901;1129324708
27743011;1123621769
27835282;1157264799
27908227;1151763769
28019117;2756314553
28106451;2627069240
28125226;1163686456
28282802;2754677391
28313434;1129324708
28408789;1129324708
28455792;1184269240
28472032;1183852906
28482258;1124077590
28540583;2756349628
28615604;1130873268
28659641;1180547793
28713596;1144363157
28742912;2755110255
28798334;1163286138
28817014;1159491267
28915144;1131603458
28941443;1182750626
28946648;2606075370
29016520;2756090654
29028526;1156749314
29187966;2898133633
29213047;2760054250
29265892;2755570506
29319547;2607379586
29369380;2756090654
29377594;2756090654
29413089;1182313844
29467838;1159975077
29530736;2756090654
29549261;1132800348
29617856;1201110412
29624714;1158833223
29661792;1129324708
29689368;1174979956
29708079;1132773841
29742044;2622739841
29798870;2756176944
29819184;1133222229
30028837;2759152645
30074706;1175727152
30155951;1129324708
30264576;1168863100
30358031;1140216390
30477982;2754283107
30563380;1129324708
30646434;1127419992
30706610;1179702818
30740419;1162831978
30815075;1134804816
30828953;1129324708
30836742;1181068974
30931339;1131603458
31014650;1129324708
31019774;1129324708
31025384;1129324708
31063736;1129324708
31133264;2759122327
31163805;2756314553
31186800;1187615537
31274929;1176128511
31349226;1158833223
31417447;2759135577
31516910;1188440540
31583426;1123077274
31615857;1129324708
31622141;1179205117
31807334;1162831978
31810032;2757021190
31812554;2756090654
32003186;2758283624
32013328;1199552999
32072653;1162831978
32216397;2756090654
32228216;2757487807
32269968;1129324708
32283444;2757804692
32320118;1140902380
32337268;1188726732
32369299;2756200542
32370289;1127759574
32399579;1133776791
32493531;2754048035
32616104;2760291156
32639513;1129324708
32641163;1194640161
32702003;1129324708
32770791;1150638746
32784837;2758880462
32788011;1129324708
32829895;1123077274
32866754;1177357382
33001676;1201110412
33056084;1150638746
33113884;2758700152
33116912;1124077590
33221748;1163494139
33250689;2757487807
33285781;1155608529
33507005;1199667400
33584921;2754492142
33597319;1184914352
33630659;1129324708
33653435;2898215259
33780738;1153382799
33787415;1129324708
33818756;1123077274
33835468;1129324708
33839098;2756090654
33843073;1123077274
33961106;1183679797
34188177;1129775427
34193391;1127419992
34205182;1162450063
34328636;1133495350
34399350;2756200542
